soc_id,EA033,EA066,EA030,EA028,EA039,complexity_score
Ah1,1.0,1.0,7.0,5.0,1.0,-0.16204661899484715
Ah10,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ah13,1.0,1.0,3.0,3.0,1.0,-1.3857734013004932
Ah15,3.0,2.0,7.0,5.0,1.0,1.0411196551404778
Ah16,2.0,4.0,5.0,5.0,1.0,0.9143894979291115
Ah19,2.0,1.0,7.0,5.0,1.0,0.27955902484802014
Ah2,1.0,4.0,7.0,3.0,1.0,0.22416053058363572
Ah20,2.0,1.0,7.0,5.0,1.0,0.27955902484802014
Ah25,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ah26,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ah28,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ah29,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ah3,2.0,1.0,5.0,3.0,1.0,-0.6191332711899468
Ah30,1.0,1.0,6.0,5.0,1.0,-0.3245638621286868
Ah31,2.0,1.0,7.0,5.0,1.0,0.27955902484802014
Ah32,1.0,1.0,7.0,5.0,1.0,-0.16204661899484715
Ah33,2.0,1.0,6.0,5.0,1.0,0.11704178171418049
Ah34,2.0,4.0,6.0,5.0,1.0,1.0769067410629511
Ah35,1.0,1.0,6.0,5.0,1.0,-0.3245638621286868
Ah36,1.0,4.0,7.0,5.0,1.0,0.7978183403539234
Ah37,1.0,1.0,6.0,5.0,1.0,-0.3245638621286868
Ah38,2.0,1.0,7.0,5.0,1.0,0.27955902484802014
Ah39,2.0,1.0,7.0,5.0,1.0,0.27955902484802014
Ah4,1.0,1.0,6.0,5.0,1.0,-0.3245638621286868
Ah5,2.0,1.0,6.0,5.0,1.0,0.11704178171418049
Ah6,1.0,1.0,6.0,3.0,1.0,-0.8982216718989745
Ah7,1.0,1.0,6.0,5.0,1.0,-0.3245638621286868
Ah8,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ah9,1.0,1.0,6.0,3.0,1.0,-0.8982216718989745
Ai1,1.0,1.0,5.0,3.0,1.0,-1.060738915032814
