var_id,category,title,definition,completeness_pct,n_unique_values
EA030,Settlement,Settlement patterns,The prevailing type of settlement pattern.,91.9442292796282,8
EA080,Settlement,House construction: floor level,Floor level of the prevailing type of dwelling.,91.32455460883037,4
EA066,Social_Stratification,Class differentiation: primary,"The degree and type of class differentiation, excluding purely political and religious statuses. See also ""Class differentiation: secondary,"" as some societies exhibit important features of two different types of class differentation.",85.90240123934933,5
EA067,Social_Stratification,Class differentiation: secondary features,"Secondary type of class differentiation present in the society, excluding purely political and religious statuses. See also ""Class differentiation: primary"".",85.90240123934933,5
EA068,Social_Stratification,Caste differentiation: primary,"The degree and type of caste differentiation. See also ""Caste differentiation: secondary,"" as some societies exhibit important features of two different types of caste differentation.",85.43764523625097,4
EA069,Social_Stratification,Caste differentiation: secondary features,"Secondary type of caste differentiation. See also ""Caste differentiation: primary"".",85.43764523625097,3
EA065,Social_Stratification,Age or occupational specialization: agriculture,Age or occupational specialization in agriculture.,75.67776917118513,3
EA001,Subsistence,Subsistence economy: gathering,"Dependence on the gathering of wild plants and small land fauna, relative to other subsistence activities.",99.92254066615027,9
EA002,Subsistence,Subsistence economy: hunting,"Dependence on hunting, including trapping and fowling, relative to other subsistence activities.",99.92254066615027,10
EA003,Subsistence,Subsistence economy: fishing,"Dependence on fishing, including shellfishing and the pursuit of large aquatic animals, relative to other subsistence activities.",99.92254066615027,10
EA004,Subsistence,Subsistence economy: animal husbandry,"Dependence on animal husbandry, relative to other subsistence activities.",99.92254066615027,10
EA005,Subsistence,Subsistence economy: agriculture,"Dependence on agriculture, relative to other subsistence activities.",99.92254066615027,10
EA042,Subsistence,Subsistence economy: dominant activity,Dominant mode of subsistence (note: not in original EA; derived from other variables on subsistence and type of agriculture).,99.92254066615027,8
EA028,Subsistence,Agriculture: intensity,Intensity of cultivation.,92.02168861347792,6
EA029,Subsistence,Agriculture: major crop type,Principal type of crop cultivated.,91.32455460883037,6
EA039,Technology,Domestic animals: plow cultivation,"Indicates whether or not animals are employed in plow cultivation, and whether plow cultivation is aboriginal or dates to the post-contact period.",91.55693261037955,3
EA073,Technology,Political succession: hereditary succession,"Rules of succession applying to the office of local headman (or a close equivalent), without reference to rules of succession prevailing on higher levels of political integration.",72.57939581719597,6
