var_id,completeness_pct,id,category,title,definition,type,units,source,changes,notes
EA010,98.14097598760651,EA010,"Marriage, Kinship",Marital residence with kin: first years,"Pattern of marital residence in the first years or so of marriage. The variable ""Marital residence with kin: change after first years"" indicates whether or not this differs from the pattern of marital residence in later years.",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Now, societies for which code was ""not different than later years"" have this information spelled out, using detailed codes of Gray's v12, which describes the pattern of marital residence in later years. Note also that two codes were added for ""Uv"" and ""Vu"" based on Murdock's note under the Ambilocal code. Specifically: ""The symbols Uv or Vu are used to denote, respectively, a marked preponderance of uxorilocal or virilocal practice [in ambilocal residence]. That is, cases of ambilocal residence where the actual frequency of uxorilocal vs. virilocal residence exceeds the other by a ratio greater than two to one. ","Codes for ""first years"" in Murdock do not include options for Matrilocal/Patrilocal; it is not clear if these are contained in Uxorilocal/Virilocal. In the case of the ""Marital residence (prevailing pattern)"" variable Matrilocal/Patrilocal are distinguished by Uxorilocal/Virilocal (with the latter being ""confined to instances where the wife's [husband's] matrikin [patrikin] are not aggregated in matrilocal and matrilineal [patrilocal and matrilineal] kin groups"". If comparing with v10 with v12, users may wish to look into this further and/or group Matri/Uxori and Patri/Viri in v12. "
EA008,97.8311386522076,EA008,"Marriage, Kinship",Domestic organization,The prevailing form of domestic or familial organization.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA009,97.36638264910921,EA009,"Marriage, Kinship",Marital composition: monogamy and polygamy,"Marital composition of family units, regardless of whether families live as independent nuclear units or as part of larger extended families.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA079,92.71882261812549,EA079,"Community organization, Housing",House construction: ground plan,Ground plan of the prevailing type of dwelling.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA028,92.02168861347792,EA028,"Subsistence, Economy",Agriculture: intensity,Intensity of cultivation.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA030,91.9442292796282,EA030,"Community organization, Housing, Settlement",Settlement patterns,The prevailing type of settlement pattern.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA040,91.55693261037955,EA040,"Subsistence, Ecology",Domestic animals: type,The predominant type of animals kept.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA039,91.55693261037955,EA039,"Subsistence, Economy",Domestic animals: plow cultivation,"Indicates whether or not animals are employed in plow cultivation, and whether plow cultivation is aboriginal or dates to the post-contact period.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA041,91.55693261037955,EA041,"Subsistence, Economy",Domestic animals: milking,Indicates whether or not domestic animals milked.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA029,91.32455460883037,EA029,"Subsistence, Ecology",Agriculture: major crop type,Principal type of crop cultivated.,Categorical,,Murdock (1962-1971); Gray (1999),"Societies coded as ""C"" but without a lower-case letter following are here coded as ""0"" (i.e., as having Missing data for ""Principal crop"").",
EA080,91.32455460883037,EA080,"Community organization, Housing",House construction: floor level,Floor level of the prevailing type of dwelling.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA032,90.39504260263361,EA032,Community organization,Jurisdictional hierarchy of local community,"The number of jurisdictional levels in the local community, with 2 representing the theoretical minimum (e.g., independent nuclear or polygynous families) and 4 representing the theoretical maximum (e.g., nuclear families nested within extended families and clan-barrios). See the variable ""Jurisdictional hierarchy beyond the local community"" for information on organization beyond the local community. Note that different types of organization on the same level, e.g., a consanguineal lineage and its localized equivalent, are counted as one, and organizations not held to be legitimate, e.g., imposed colonial regimes, are excluded.",Ordinal,,Gray (1999),,
EA083,89.85282726568552,EA083,"Community organization, Housing, Ecology",House construction: roofing materials,Roofing materials of the prevailing type of dwelling.,Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""Stone/slate"" (1) from ""Tile/brick"" (11)",
EA033,89.46553059643688,EA033,"Community organization, Politics",Jurisdictional hierarchy beyond local community,"The number of jurisdictional levels beyond the local community, with 1 representing the theoretical minimum (e.g.,  none/autonomous bands or villages) and 4 representing the theoretical maximum (e.g., villages nested within parishes, districts, provinces, and a complex state). This variable also provides a measure of political complexity, ranging from 1 for stateless societies, through 2 or 3 for petty and larger paramount chiefdoms or their equivalent, to 4 or 5 for large states. Note that different types of organization on the same level are counted as one, and organizations not held to be legitimate, e.g., imposed colonial regimes, are excluded.",Ordinal,,Gray (1999),,
EA082,87.9163439194423,EA082,"Community organization, Housing",House construction: shape of roof,Shape of roof  of the prevailing type of dwelling.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA070,86.83191324554609,EA070,"Politics, Class, Economy, Labour",Slavery: type,"The forms and prevalence of slave status, treated quite independently of both class and caste status.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA071,86.75445391169636,EA071,"Politics, Class, Economy, Labour",Slavery: timing,"Indicates whether slavery present at the time of observation of the society, or only in the past.",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""standalone"" variable; specifically, to distinguish ""Slavery never practiced"" (1) from ""Slavery present in past, but not currently in existence"" (3)",
EA037,86.44461657629745,EA037,"Ritual, Gender",Male genital mutilations,"The practice of circumcision or any of its variants, when culturally normative and not sporadic or merely optional, as well as the age at which it typically occurs.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA066,85.90240123934933,EA066,"Politics, Class, Economy",Class differentiation: primary,"The degree and type of class differentiation, excluding purely political and religious statuses. See also ""Class differentiation: secondary,"" as some societies exhibit important features of two different types of class differentation.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA067,85.90240123934933,EA067,"Politics, Class, Economy",Class differentiation: secondary features,"Secondary type of class differentiation present in the society, excluding purely political and religious statuses. See also ""Class differentiation: primary"".",Categorical,,Murdock (1962-1971); Gray (1999),,
EA068,85.43764523625097,EA068,"Politics, Class, Economy",Caste differentiation: primary,"The degree and type of caste differentiation. See also ""Caste differentiation: secondary,"" as some societies exhibit important features of two different types of caste differentation.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA069,85.43764523625097,EA069,"Politics, Class, Economy",Caste differentiation: secondary features,"Secondary type of caste differentiation. See also ""Caste differentiation: primary"".",Categorical,,Murdock (1962-1971); Gray (1999),,
EA015,85.36018590240124,EA015,"Marriage, Kinship, Community organization",Community marriage organization,"The prevalence of local endogamy, agamy, and exogamy, together with the presence or absence of localized kin groups. The specific structure of clans, whether ambilocal, matrilocal, or patrilocal, is revealed by the variable describing prevailing patterns of residence with kin.",Categorical,,Murdock (1962-1971); Gray (1999),,
